SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190304164352475""","=""1551689032460583""",Testhuanghun_off,5.108779,0.5728115,Kooper,-259.3755,0.9952416,367.9628,-260.0782,1.110062,368.0456,0.9999323,-0.01157732,-0.001241963,0.9545043,0.29170440000000003,0.06189036,3.285461,-0.4044453,-0.2921143,-0.06296182,0.30275840000000004,0.9509854,0.08662161,-0.005668004,0.9962252,36,0.7026999999999929,-0.11482040000000016,-0.08279999999996335,0.07982507069783032,-0.11482040000000016,0.6847698597842354,99.45579312123596,83.35091968877455,0.6989030884443101,72.37664604909065,93.78784938970328,1.0000000352807155
"=""20190304164352491""","=""1551689032481078""",Testhuanghun_off,5.149241,0.5728255,Kooper,-259.0634,0.9846494,367.9556,-259.7972,1.110101,368.0452,0.9999303,-0.01173868,-0.00132,0.9546909,0.2911049000000001,0.06183338,3.2860410000000004,-0.4062629,-0.290741,-0.06298885,0.3023125,0.9511254,0.08611324,-0.005654475999999999,0.9962693,35,0.7337999999999738,-0.1254516,-0.08960000000001855,0.08615024238424927,-0.1254516,0.7133735596215286,99.90335703067215,83.11404642373303,0.7294256670645172,72.40344941629756,93.78891464319636,0.9999999847028661
"=""20190304164352507""","=""1551689032500598""",Testhuanghun_off,5.144266,0.572892,Kooper,-259.0477,1.016699,367.9788,-259.5621,1.110124,368.0448,0.9999286,-0.01187748,-0.001386501,0.9547284,0.2910014,0.06174353,3.286102,-0.4097399000000001,-0.29003909999999994,-0.06296968,0.3023403,0.9511179,0.08582479,-0.005677168000000001,0.9962940999999998,35,0.5143999999999664,-0.09342499999999987,-0.06600000000003092,0.063234619887865,-0.09342499999999987,0.4983198568881815,100.53597250921206,82.76806719662898,0.5109300613062618,72.401779559539,93.78779466511587,1.0000000486519
"=""20190304164352521""","=""1551689032511334""",Testhuanghun_off,5.121067,0.5728771,Kooper,-258.7355,1.007128,367.9714,-259.3391,1.110151,368.0444,0.9999269,-0.01201549,-0.001449455,0.9547726,0.2908698,0.06167871,3.28595,-0.409665,-0.29086300000000004,-0.06297062,0.3023389,0.9511182,0.08601225,-0.005688271999999999,0.9962779,35,0.6035999999999717,-0.10302300000000007,-0.07299999999997908,0.07011191509910779,-0.10302300000000007,0.5868553849961746,99.88795576629913,83.18713505654857,0.5999405487770207,72.40186228082699,93.78784985274353,0.9999999699038168
"=""20190304164352532""","=""1551689032521095""",Testhuanghun_off,5.1357089999999985,0.5728347,Kooper,-258.4245,0.9955859,367.9636,-259.1407,1.110176,368.044,0.9999252,-0.01214362,-0.001504995,0.9548253,0.29075120000000004,0.0614224,3.286255,-0.4117775,-0.2896423,-0.06277145,0.3023421,0.9511304,0.08557796,-0.005684031,0.9963152,35,0.716199999999958,-0.11459010000000006,-0.0804000000000542,0.07736609373527581,-0.11459010000000006,0.6986577386590613,99.25881063028486,83.68107735536701,0.7122071603585987,72.40167082622632,93.77585566902543,1.000000019085836
"=""20190304164352547""","=""1551689032540617""",Testhuanghun_off,5.117555,0.5729116999999999,Kooper,-258.4131,1.018592,367.9798,-258.9111,1.110202,368.0437,0.999923,-0.01230224,-0.0015671939999999998,0.9548168,0.2908903,0.06088914,3.286606,-0.4138832,-0.2896118,-0.06230011,0.3026311,0.9510695,0.0854909,-0.005703658,0.9963226,35,0.4979999999999905,-0.0916100000000002,-0.06389999999998963,0.061085755869705875,-0.0916100000000002,0.4820512709394282,100.67689322220386,82.77794607714068,0.4944666717631142,72.3842988992195,93.74782380419022,1.0000000401117353
"=""20190304164352560""","=""1551689032551351""",Testhuanghun_off,5.138851,0.5729426999999999,Kooper,-258.1021,1.0081639999999998,367.9718,-258.7347,1.110225,368.0433,0.9999216,-0.01242551,-0.0016143079999999998,0.9548864,0.29073990000000005,0.0605179,3.286911,-0.4148355,-0.2910156,-0.06197564,0.30259840000000005,0.9511011,0.08585157,-0.005739924,0.9962914,35,0.6325999999999681,-0.10206100000000018,-0.07150000000001455,0.06871263995103137,-0.10206100000000018,0.6168607297652894,99.337882165859,83.6439764426493,0.6290111561304819,72.38626458275701,93.728236148775,1.000000037028589
"=""20190304164352571""","=""1551689032561110""",Testhuanghun_off,5.157222,0.5729635000000001,Kooper,-257.7944,0.9913828,367.9594,-258.5305,1.110248,368.043,0.9999198,-0.01256999,-0.001667775,0.9549959,0.2904343,0.0602587,3.2867580000000003,-0.4154509,-0.2925415,-0.06176954,0.3024312,0.9511676,0.08625519,-0.005776041,0.9962564,35,0.7361000000000217,-0.11886519999999975,-0.0835999999999899,0.08030480021154926,-0.11886519999999975,0.7177606441268445,99.34588771085781,83.61615796311783,0.7319550115720498,72.39631387910411,93.71561362861765,0.9999999550475047
"=""20190304164352583""","=""1551689032570869""",Testhuanghun_off,5.1485059999999985,0.573023,Kooper,-257.7826,1.015399,367.976,-258.3475,1.110263,368.0426,0.999918,-0.01269567,-0.001714826,0.9549847,0.2905939,0.05966358,3.286697,-0.4168924,-0.2936707,-0.06121957,0.30271020000000004,0.9511145,0.08654171,-0.005814237,0.9962313,35,0.5649000000000228,-0.09486400000000006,-0.066599999999994,0.06385504929005703,-0.09486400000000006,0.5497233361939461,99.72678147065258,83.3743003143458,0.5614912218120938,72.37954388133093,93.68282784344623,1.0000000465226364
"=""20190304164352603""","=""1551689032591366""",Testhuanghun_off,5.150733,0.5731092,Kooper,-257.4747,0.9997346,367.9638,-258.05,1.110288,368.042,0.9999153,-0.0128924,-0.0017913170000000004,0.9551554,0.2901998,0.05884119999999999,3.2865910000000005,-0.4163421,-0.2959595,-0.06047083,0.30250520000000003,0.9512275,0.08715251,-0.005850069,0.9961778,35,0.575300000000027,-0.11055340000000002,-0.07819999999998117,0.07446913899035809,-0.11055340000000002,0.5553049007195862,101.16218441353624,82.36192257692876,0.5710790135145176,72.39186530543847,93.63747607949382,0.9999999370320874
